/,,,,,,,,,,,,,,,,,,,,,,
Subcatchment,Built,PP,RB1,RB1_PP,RB2,RB2_PP,GR100,GR100_PP,GR100_RB1,GR100_RB2,GR75,GR75_PP,GR75_RB1,GR75_RB2,GR50,GR50_PP,GR50_RB1,GR50_RB2,GR25,GR25_PP,GR25_RB1,GR25_RB2
1,41.67,32.58,34.14,28.53,34.11,28.53,23.64,19.35,23.61,23.61,27.54,22.26,26.4,26.4,32.04,25.32,29.16,29.16,36.6,28.86,31.65,31.59
2,33.06,24.06,28.11,21.63,28.08,21.63,21.6,14.55,21.51,21.51,24.3,16.8,23.37,23.37,27.09,19.26,25.05,25.02,30.15,21.66,26.67,26.67
3,24.24,17.91,19.08,15.87,19.05,15.84,12.3,10.08,12.24,12.24,14.94,11.88,14.01,14.01,17.7,13.74,15.93,15.93,20.76,15.84,17.46,17.46
4,28.92,21.33,19.53,16.08,19.53,16.08,9.54,7.8,9.51,9.51,13.44,10.32,12.45,12.45,17.97,13.32,15.03,15,23.19,17.04,17.43,17.43
5,19.05,17.58,12.24,12.69,12.24,12.66,5.79,6.18,5.79,5.79,8.49,8.61,7.77,7.77,11.67,11.25,9.54,9.54,15.18,14.16,11.1,11.07
6,15.81,15.15,13.68,13.53,13.65,13.53,8.43,8.22,8.4,8.4,10.17,10.05,9.81,9.75,11.91,11.55,11.19,11.19,13.86,13.47,12.3,12.27
7,18.18,17.58,16.32,15.93,16.32,15.93,11.19,10.77,11.16,11.16,12.96,12.42,12.54,12.54,14.79,14.1,13.86,13.86,16.56,15.72,15.06,15.03
8,13.65,12.75,11.4,11.07,11.37,11.07,5.61,5.31,5.61,5.61,7.62,7.08,7.23,7.2,9.63,8.91,8.82,8.79,11.61,10.83,10.26,10.26
9,15.75,15.27,15.06,14.58,14.52,14.25,11.16,11.1,11.16,11.13,12.3,12.03,12.15,12.03,13.41,13.08,12.99,12.84,14.55,14.1,14.01,13.62
10,27.36,26.13,23.88,23.64,23.82,23.61,13.95,13.02,13.95,13.95,17.19,16.17,16.62,16.62,20.43,19.53,19.17,19.17,23.73,22.74,21.48,21.48
11,13.62,13.23,11.73,11.91,11.73,11.91,6.03,5.85,6.03,6.03,7.77,7.83,7.53,7.53,9.69,9.6,9.06,9.03,11.52,11.49,10.44,10.41
12,15.15,14.85,13.32,13.35,13.32,13.32,7.41,7.44,7.41,7.41,9.33,9.27,9.03,9.03,11.19,11.01,10.47,10.44,13.11,12.93,11.88,11.88
/,,,,,,,,,,,,,,,,,,,,,,
Subcatchment,Built,PP,RB1,RB1_PP,RB2,RB2_PP,GR100,GR100_PP,GR100_RB1,GR100_RB2,GR75,GR75_PP,GR75_RB1,GR75_RB2,GR50,GR50_PP,GR50_RB1,GR50_RB2,GR25,GR25_PP,GR25_RB1,GR25_RB2
1,137.07,116.25,126.84,105.21,115.47,103.8,75,71.34,74.88,74.85,89.28,80.97,85.05,84.93,104.22,91.77,94.98,94.89,119.94,103.59,109.08,104.1
2,102.06,84.3,90.54,77.28,86.43,77.22,62.04,56.07,61.98,61.86,71.37,62.31,68.46,68.4,81.03,69.21,74.76,74.64,91.32,76.44,81.09,80.76
