/,,,,,,,,,,,,,,,,,,,,,,,,
Subcatchment,Area,Unbuilt,Built,PP,RB1,RB1_PP,RB2,RB2_PP,GR100,GR100_PP,GR100_RB1,GR100_RB2,GR75,GR75_PP,GR75_RB1,GR75_RB2,GR50,GR50_PP,GR50_RB1,GR50_RB2,GR25,GR25_PP,GR25_RB1,GR25_RB2
1,10361.47,310844,621688,169244,93084,214939,93648,214939,215504,348078,217196,217196,164730,305767,182219,182219,112265,259507,150627,151191,54722,214375,120163,120163
2,7442.91,223287,446574,116618,95063,154201,95616,154753,219971,260870,221076,221076,171334,227709,188468,188468,120487,193442,153095,153095,64112,154753,124908,124908
3,6021.88,180657,361313,94826,117314,160417,117314,160417,242125,263863,242499,242499,193400,232380,205768,205768,136804,194899,173535,173910,71588,148423,143551,143551
4,6730.74,201922,403844,31163,144366,175529,144366,175529,281101,312264,281101,281101,223863,255026,239127,239127,156450,165354,201604,201604,82041,103664,168533,169169
5,4181.39,125442,250883,10473,33800,36181,34276,36181,117111,120443,117587,117587,89499,91403,95212,96164,61888,67600,73313,73313,30944,37133,55699,56175
6,6199.02,185971,371941,12275,38053,46032,38053,46032,143007,151600,143621,143621,106795,117843,115388,115388,69355,83472,88382,88382,33143,50329,63832,64445
7,6835.90,205077,410154,27043,67608,77524,68509,77524,241585,250600,241585,241585,181189,197415,192908,193809,120793,142427,145131,146033,61298,84735,101862,101862
8,4865.53,145966,291932,8897,12789,21686,22798,27803,85077,93974,85077,85633,63947,68952,66727,68952,43373,49489,51158,53938,22242,30583,32252,39480
9,6385.44,191563,383126,17224,48731,52092,49571,52512,187782,200805,187782,187782,142412,156695,150394,150394,97042,109645,114686,114686,50831,64695,82339,82339
10,11746.43,352393,704786,20181,97801,117982,97801,117982,392755,402070,392755,392755,302716,322898,315136,315136,203363,208021,235964,237516,108667,110220,164554,166106
11,6972.64,209179,418358,8284,50534,58819,50534,58819,213736,222020,213736,213736,160716,162373,169000,169000,109353,114324,129235,130064,56333,61304,90299,90299
12,7800.28,234009,468017,9268,56533,65800,56533,65800,239105,248373,239105,239105,179792,181646,189060,189060,122333,127894,144575,145502,63020,68581,101017,101017
/,,,,,,,,,,,,,,,,,,,,,,,,
